model,concurrency,ttft_ms,e2e_ms,tpot_ms,itl_mean_ms,itl_p95_ms,prefill_ms,tps,prompt_tokens,output_tokens
gemma27b,1,457.76049714339405,6455.422627298455,38.92502779772073,38.77681049121452,41.039983222359105,19.582248736842104,25.690877659479476,41.78947368421053,155.47368421052633
gemma27b,2,6564.992402729235,13498.908820905184,38.889319831916545,38.715166108563785,40.969996075881156,10.796653,25.714646355026442,43.21052631578947,179.78947368421052
gemma27b,4,20471.1835133402,27958.040237426758,38.93803835797688,38.74780801451971,41.094055928682025,10.894816894736842,25.68256419682494,46.36842105263158,193.78947368421052
gemma27b,8,42898.055444161095,50239.624708890915,38.933645974355834,38.76007025634982,41.171920796235405,10.444373458333333,25.68553831205087,48.333333333333336,189.875
gemma27b,16,84479.07212376595,92044.27625983953,38.949333202940096,38.76823893833083,41.07388257980347,11.0221694375,25.674864189357354,48.0625,195.71875
gemma27b,32,138885.6488587905,145294.74257449716,38.86906707330532,38.71496379103908,41.046938117669555,10.484743224489797,25.72819439146269,42.204081632653065,166.30612244897958
gemma27b,64,263289.6393849736,270241.6792625473,38.89460488539071,38.731778934544145,41.034843240465435,10.463351083333333,25.711107623165866,45.666666666666664,180.11904761904762
gptoss20b,1,1396.8740701675415,4546.2724191171155,17.09510381399994,17.49547749618349,18.36783841804222,229.91855622222224,58.49693413387767,97.25925925925925,237.66666666666666
gptoss20b,2,5094.713325853701,8330.477531750998,17.06688863828588,17.52264067719647,18.349114656448364,186.92478353333334,58.59347912631304,95.9,236.93333333333334
gptoss20b,4,13332.30584008353,16787.71887287017,17.080540431208064,17.411179769741576,18.322102485164518,219.6267548064516,58.54638787157054,99.16129032258064,245.29032258064515
gptoss20b,8,27885.044356187183,31778.010947363717,17.074681977783563,17.41119814871659,18.276538167681014,194.41231662857143,58.56647143883082,97.85714285714286,246.25714285714287
gptoss20b,16,52382.44751252626,56904.23624082045,17.059814874896833,17.50723170551392,18.281146613034334,193.20412977272727,58.61756806552398,95.04545454545455,237.13636363636363
gptoss20b,32,96876.18833321791,100424.41794872284,17.060535523751955,17.516549396173072,18.332582314809162,191.62715751666667,58.6151400355219,95.21666666666667,235.3
gptoss20b,64,186162.79079232897,182102.6713265313,17.067037324511247,17.44553470607324,18.208216031392414,186.15726173333334,58.59270777726909,96.13333333333334,245.5888888888889
llama318b,1,194.1790911886427,3398.5502322514853,13.602198924130851,13.547807049302737,14.44808476501041,10.917197527777779,73.5203594053613,45.333333333333336,237.0
llama318b,2,2991.6127425868335,6011.012036625932,13.577146057948928,13.54463000291051,14.276907502151117,5.893665,73.65651685809324,45.53658536585366,223.73170731707316
llama318b,4,9256.479937855791,12469.758289616282,13.592109929304554,13.543224438727046,14.362780350010569,5.795848585365854,73.57543142724285,44.292682926829265,237.78048780487805
llama318b,8,20172.161346011693,23317.565128538343,13.59677569577702,13.550299600324381,14.23470656077067,6.168214799999999,73.5497588103414,45.644444444444446,232.73333333333332
llama318b,16,40708.06113279091,43855.80882936154,13.587412794201583,13.543787553064876,14.239716979692567,5.595303283018868,73.60000828680086,45.943396226415096,233.0
llama318b,32,74244.45147514343,77335.26516982487,13.587472744153265,13.547058016554075,14.289505141122001,6.056369785714286,73.5997170616014,46.47142857142857,228.85714285714286
llama318b,64,136053.59861402228,139180.4997094787,13.588670687498627,13.54611357310876,14.339598452690804,5.843125871287128,73.59291973479573,44.87128712871287,231.47524752475246
mistral7b,1,105.80933612325917,2613.7687848961873,11.825908248367591,11.779768801550215,12.12085485458374,10.496027847826086,84.56156558007876,46.608695652173914,213.43478260869566
mistral7b,2,2533.2302699486413,5078.314696749051,11.820934530355357,11.777864560469624,12.124337007602056,6.323200854166667,84.59781551546875,44.770833333333336,216.5625
mistral7b,4,7667.005144819921,10274.418300511885,11.836871365200304,11.790990705597189,12.152275503898153,6.361600040816327,84.48364354170523,46.95918367346939,221.6326530612245
mistral7b,8,17361.6950236834,19990.953468359432,11.828551885743757,11.787983592713129,12.139358887305626,6.287219557692309,84.54259667886004,44.32692307692308,223.53846153846155
mistral7b,16,34460.22427277487,37057.17911876616,11.834717890755206,11.786323143152353,12.139087231432805,6.498891147540984,84.49874122709682,48.16393442622951,220.78688524590163
mistral7b,32,63511.12768894587,66062.43536716852,11.826433800302256,11.785735621474407,12.148476563967192,6.082074730769231,84.557835978579,43.97435897435897,217.05128205128204
mistral7b,64,118059.89073147284,120685.59979278351,11.82654918371219,11.784233506389624,12.134871081771138,5.984121392523364,84.55728264150862,44.8411214953271,223.28971962616822
qwen2514b,1,319.9135899543762,6073.203670978546,23.987979260643655,23.890414301566295,25.45170247554779,21.902265800000002,41.68824223318934,65.55,241.15
qwen2514b,2,5802.636350904192,11794.524124690464,23.97590642384219,23.868347745976582,25.4058043162028,13.176586047619047,41.70936683805896,63.38095238095238,251.14285714285714
