ts,model,label,ok,error,ttft_ms,e2e_ms,prompt_tokens,output_tokens,tps,tpot_ms,prefill_ms,itl_mean_ms,itl_p95_ms,itl_count
1761169368.8742826,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.874507,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.8762002,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.876541,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.877721,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.8780408,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.8790188,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.8792806,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.881431,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.8818843,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.882712,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.883118,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.8841085,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.8843114,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.8854074,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.8856254,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.8866093,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.8868618,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.887809,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.8880384,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.8892798,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.889834,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.890486,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.8909123,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.8918133,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.8920507,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.8930972,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.8932877,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.8944962,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.894844,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.895809,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.896046,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.8972032,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.8977075,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.8986487,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.8988895,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.8997467,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.899941,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9011922,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9016519,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9026043,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.903005,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9039261,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.904334,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9054852,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9059398,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9069088,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9073596,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9082453,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9084656,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9095006,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9097147,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9106321,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.910867,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.911846,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9121742,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.913306,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9135308,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9143941,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.914609,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9155853,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9159255,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9170141,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9172032,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9180877,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.918319,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.919288,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9195225,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9204316,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9209015,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9218588,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9223037,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9231198,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9233522,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9242692,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9245057,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9257421,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9259837,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9270024,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9274414,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9283092,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9289732,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9298809,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9301026,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9309318,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9311235,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9320638,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9322839,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9334211,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.933671,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.934623,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9348445,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9357724,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.936011,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9371772,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9374073,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9384043,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9386673,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9394724,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9396772,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9408638,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9410806,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9420123,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.942437,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9433289,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9435475,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9445887,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9447775,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9457157,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9461071,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9469845,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9474084,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.948727,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9491503,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9499545,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9501379,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9509466,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9511287,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.951985,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9524705,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9534657,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9537208,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9546666,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9549806,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.955902,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9565537,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.957454,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9577994,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.958727,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.95915,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9600322,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.96048,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.96163,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9620602,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9629633,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9631999,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.964067,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.96425,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9653747,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9656348,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9665835,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9668078,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9677296,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.967946,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.968988,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9691749,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9701362,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.970473,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9713566,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9718032,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.972918,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9731264,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9739451,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9741273,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9750526,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9752786,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9764073,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9766452,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9775085,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9777675,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9786713,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.978882,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.979852,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9803872,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.981344,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9816744,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9825454,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9828873,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9837847,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9843688,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.985214,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9854238,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9862814,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.987205,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.98762,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9888942,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9893167,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9901836,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.990504,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9915156,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.991734,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9929843,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.993422,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9944782,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9949532,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9958444,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169368.9960694,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169368.9973118,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9975343,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9984593,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.9986966,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169368.9995892,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169368.999816,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169369.0009835,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169369.0011933,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169369.002144,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169369.0025983,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169369.003378,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169369.0038052,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169369.004777,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169369.0053947,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169369.0062866,gemma2:27b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761169369.006517,gemma2:27b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761169369.007453,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169369.007695,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169369.0085826,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169369.0088189,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761169369.0100226,gemma2:27b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761169369.0102446,gemma2:27b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761169369.0111933,gemma2:27b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
