ts,model,label,ok,error,ttft_ms,e2e_ms,prompt_tokens,output_tokens,tps,tpot_ms,prefill_ms,itl_mean_ms,itl_p95_ms,itl_count
1761167909.905488,llama3.1:8b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761167909.9057422,llama3.1:8b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761167909.9059443,llama3.1:8b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761167909.906128,llama3.1:8b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761167909.9063172,llama3.1:8b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761167909.906495,llama3.1:8b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761167909.9068406,llama3.1:8b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761167909.9070144,llama3.1:8b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761167909.9098454,llama3.1:8b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761167909.910036,llama3.1:8b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761167909.910207,llama3.1:8b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761167909.9103777,llama3.1:8b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761167909.9105396,llama3.1:8b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761167909.910725,llama3.1:8b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761167909.9108913,llama3.1:8b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761167909.9120994,llama3.1:8b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761167909.9139416,llama3.1:8b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761167909.9141269,llama3.1:8b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761167909.9142935,llama3.1:8b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761167909.9144602,llama3.1:8b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761167909.9154198,llama3.1:8b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761167909.915827,llama3.1:8b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761167909.915993,llama3.1:8b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761167909.9165475,llama3.1:8b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761167909.9180737,llama3.1:8b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761167909.9182942,llama3.1:8b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761167909.9184642,llama3.1:8b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761167909.9186575,llama3.1:8b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761167909.9198184,llama3.1:8b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761167909.9199982,llama3.1:8b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761167909.9201958,llama3.1:8b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
