ts,model,label,ok,error,ttft_ms,e2e_ms,prompt_tokens,output_tokens,tps,tpot_ms,prefill_ms,itl_mean_ms,itl_p95_ms,itl_count
1761168517.8566844,mistral:7b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761168517.8569088,mistral:7b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761168517.8581357,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761168517.8584273,mistral:7b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761168517.8593311,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761168517.8595383,mistral:7b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761168517.8606846,mistral:7b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761168517.860999,mistral:7b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761168517.863182,mistral:7b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761168517.8634245,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761168517.8643801,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761168517.8646612,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761168517.8656018,mistral:7b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761168517.8658376,mistral:7b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761168517.8669114,mistral:7b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761168517.8672986,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761168517.8680224,mistral:7b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761168517.8683674,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761168517.8694906,mistral:7b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761168517.8697119,mistral:7b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761168517.8708403,mistral:7b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761168517.8710947,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761168517.8720706,mistral:7b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761168517.8722918,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761168517.873282,mistral:7b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761168517.8735316,mistral:7b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761168517.8749228,mistral:7b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761168517.8752282,mistral:7b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761168517.8762083,mistral:7b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761168517.8764336,mistral:7b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761168517.877445,mistral:7b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761168517.8778787,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761168517.8790061,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761168517.87922,mistral:7b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761168517.8800843,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761168517.8803117,mistral:7b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761168517.8812964,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761168517.8815303,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761168517.8826895,mistral:7b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761168517.8829107,mistral:7b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761168517.8838904,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761168517.884313,mistral:7b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761168517.8851006,mistral:7b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761168517.8854542,mistral:7b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761168517.8866591,mistral:7b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761168517.8868787,mistral:7b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761168517.8878503,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761168517.8881743,mistral:7b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761168517.889032,mistral:7b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761168517.8892488,mistral:7b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761168517.890432,mistral:7b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761168517.890677,mistral:7b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761168517.8916266,mistral:7b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
