ts,model,label,ok,error,ttft_ms,e2e_ms,prompt_tokens,output_tokens,tps,tpot_ms,prefill_ms,itl_mean_ms,itl_p95_ms,itl_count
1761170463.235199,qwen2.5:14b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761170463.2354271,qwen2.5:14b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761170463.235667,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2358582,qwen2.5:14b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761170463.2360542,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2362385,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2374327,qwen2.5:14b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761170463.238111,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2395341,qwen2.5:14b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2397983,qwen2.5:14b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761170463.2401602,qwen2.5:14b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2403388,qwen2.5:14b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2417808,qwen2.5:14b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761170463.2419717,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2421935,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2432055,qwen2.5:14b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2441752,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2443666,qwen2.5:14b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761170463.2445397,qwen2.5:14b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761170463.2447555,qwen2.5:14b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761170463.2461236,qwen2.5:14b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761170463.2470608,qwen2.5:14b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2472444,qwen2.5:14b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2474144,qwen2.5:14b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761170463.248504,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2488227,qwen2.5:14b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2489998,qwen2.5:14b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.250014,qwen2.5:14b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761170463.250969,qwen2.5:14b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2511544,qwen2.5:14b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2513263,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2514906,qwen2.5:14b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2528129,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.253735,qwen2.5:14b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761170463.2539184,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2540839,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2551782,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2554512,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2561738,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2566848,qwen2.5:14b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.25766,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.257888,qwen2.5:14b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761170463.258126,qwen2.5:14b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2582948,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2593324,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2603588,qwen2.5:14b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.26054,qwen2.5:14b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761170463.2607834,qwen2.5:14b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761170463.2620573,qwen2.5:14b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2622418,qwen2.5:14b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2631273,qwen2.5:14b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761170463.2636876,qwen2.5:14b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761170463.26454,qwen2.5:14b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2647583,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2649307,qwen2.5:14b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2658737,qwen2.5:14b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761170463.2669601,qwen2.5:14b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761170463.2677665,qwen2.5:14b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2681746,qwen2.5:14b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761170463.2685301,qwen2.5:14b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761170463.2687402,qwen2.5:14b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761170463.2689102,qwen2.5:14b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761170463.2690732,qwen2.5:14b,short_instruction,False,All connection attempts failed,,,,,,,,,,
