ts,model,label,ok,error,ttft_ms,e2e_ms,prompt_tokens,output_tokens,tps,tpot_ms,prefill_ms,itl_mean_ms,itl_p95_ms,itl_count
1761166693.9550269,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.9558558,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166693.9564388,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.9571722,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.957749,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.9582949,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.9588435,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.9594023,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9599848,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.961511,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166693.9620636,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.9626071,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9631143,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9636478,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.9641702,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.9648483,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.965372,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.965899,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166693.966406,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.966924,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9674284,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.9679534,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.9686334,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.9691312,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.9696586,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.970171,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.970701,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9711983,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166693.9718626,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.972362,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9729059,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9733984,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.973912,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.974405,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9750583,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166693.9755523,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.9760609,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166693.9765487,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9770637,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166693.9775848,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166693.9782321,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.9787445,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9792352,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9797404,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.980227,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166693.9807377,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.9812264,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.9819057,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166693.9823937,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.9828966,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.9833803,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.9839036,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.9843905,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9850543,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9855552,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9860706,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9865546,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.9870698,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9875598,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9882095,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.9887276,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.989214,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9897265,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9902208,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.990719,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.9913573,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.99186,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.9923415,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9928355,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.9933102,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9938207,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9943008,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166693.9949737,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.995451,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166693.995945,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9964166,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.9969175,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166693.9973915,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.9980385,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166693.9985147,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.9990094,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166693.9994938,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166693.9999886,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166694.0004632,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166694.0011075,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166694.0016212,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166694.002098,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166694.0025883,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166694.0030658,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166694.0035386,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166694.0042083,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166694.004716,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166694.005192,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166694.0056999,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166694.0061686,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166694.006667,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166694.0071638,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166694.0078068,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166694.0082788,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166694.0087717,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166694.0092642,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166694.0097733,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166694.0102623,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166694.0109048,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166694.0113902,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166694.01189,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166694.0123696,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166694.0128706,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166694.0133564,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
1761166694.0140188,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166694.0145001,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166694.01501,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166694.0154965,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166694.0160105,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166694.0164895,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166694.01715,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166694.0176618,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166694.01815,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166694.0186596,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166694.0191505,yi:34b,long_instruction,False,All connection attempts failed,,,,,,,,,,
1761166694.0196836,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166694.0201705,yi:34b,short_instruction,False,All connection attempts failed,,,,,,,,,,
1761166694.020837,yi:34b,chat_multi_turn,False,All connection attempts failed,,,,,,,,,,
1761166694.0213149,yi:34b,code_humaneval,False,All connection attempts failed,,,,,,,,,,
1761166694.021818,yi:34b,math_gsm8k,False,All connection attempts failed,,,,,,,,,,
